Row Labels,Plan Invest,Pd Invest,SAP Payments (Dr),SAP Accruals (Cr)
1/1/17,261044499,354936220,94556248,-144687426
2/1/17,189773713.7,99307670.33,125594270,-163682207
3/1/17,224013246.7,94952062.67,190289235,-208128854
4/1/17,267949053,477545165.5,178726804,-169131660
5/1/17,223276382.3,110358582.5,216791551,-221174419
6/1/17,235724312.3,115452843.5,213757950,-220903295
7/1/17,272313482.3,446524898.5,184589339,-181929844
8/1/17,232626352.7,118521068.5,228034276,-218393414
9/1/17,203281312.7,114818908.5,195327035,-201463844
10/1/17,259877485,415385248.5,197774707,-201205297
11/1/17,204556879.7,114182983.5,193181572,-214762427
12/1/17,190728142.3,106031146.5,187230518,-218285106
1/1/18,266246510,499918524,95234109,-160616896
2/1/18,181652737,92175702,130239892,-177458400
3/1/18,239149288,116785345,199030875,-207080959
4/1/18,247718288,462324113,191467739,-182371976
5/1/18,247319687,122146103,214237555,-238384687
6/1/18,243413765,114985793,208967367,-229156934
7/1/18,265559618,428323483,208057778,-199225859
8/1/18,239595344,115622005,228989804,-220963867
9/1/18,190068997,101074163,198292395,-195706986
10/1/18,249620967,391937775,204365455,-213058931
11/1/18,192412884,101886323,193904436,-227269858
12/1/18,198437399,99920332,192361988,-211955128
1/1/19,273015461,492766218,106824690,-164743550
2/1/19,182692013,98571062,134251834,-183821716
3/1/19,217029085,115919894,175741591,-216323721
4/1/19,271463995,464726314,165167615,-194104260
5/1/19,239791865,121420132,249701694,-253886911
6/1/19,234964295,128563654,229499296,-235672591
7/1/19,292639072,438832722,208399317,-210719034
8/1/19,237905003,126479644,235126749,-237965756
9/1/19,203921887,112141961,240272323,-238292492
10/1/19,269825219,366240744,272944027,-267071499
11/1/19,209500616,111368443,208544915,-233394819
12/1/19,211949273,110198611,236909891,-240738496
1/1/20,267266020,172952361,126728265,-206936356
2/1/20,195255520,103860986,155871109,-203834251